# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationAvgMs,1767550562631000000,1767550622641000000,0.0
Indexes.entries.lookupDurationAvgMs,1767550562631000000,1767550622641000000,4.8
VFSFlusher.totalFlushesRetried,1767550562631000000,1767550622641000000,0
VFSFlusher.totalContentionQuotaSpent,1767550562631000000,1767550622641000000,0
Indexes.stubs.lookupDuration90PMs,1767550562631000000,1767550622641000000,0.0
Indexes.allKeys.lookupDuration90PMs,1767550562631000000,1767550622641000000,0.0
IndexesFlusher.totalFlushesRetried,1767550562631000000,1767550622641000000,0
Indexes.entries.lookupDuration90PMs,1767550562631000000,1767550622641000000,8.0
Indexes.allKeys.lookupDurationMaxMs,1767550562631000000,1767550622641000000,0.0
IndexesFlusher.totalFlushes,1767550562631000000,1767550622641000000,57
VFSFlusher.totalFlushingTimeUs,1767550562631000000,1767550622641000000,41245
VFSFlusher.totalFlushes,1767550562631000000,1767550622641000000,5
Indexes.stubs.lookups,1767550562631000000,1767550622641000000,0.0
Indexes.entries.lookupDurationMaxMs,1767550562631000000,1767550622641000000,8.0
IndexesFlusher.totalContentionQuotaSpent,1767550562631000000,1767550622641000000,0
Indexes.entries.lookups,1767550562631000000,1767550622641000000,5.0
Indexes.allKeys.lookups,1767550562631000000,1767550622641000000,0.0
FileNameCache.queries,1767550562631000000,1767550622641000000,1718143
FileNameCache.totalMisses,1767550562631000000,1767550622641000000,52418
FileNameCache.fastMisses,1767550562631000000,1767550622641000000,73277
jps.facet.change.listener.init.bridge.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1767550622641000000,1767550682642000000,0
jps.global.get.library.by.name.ms,1767550622641000000,1767550682642000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767550622641000000,1767550682642000000,8
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767550622641000000,1767550682642000000,0
jps.global.handle.before.change.events.ms,1767550622641000000,1767550682642000000,0
jps.load.project.to.empty.storage.ms,1767550622641000000,1767550682642000000,54
jps.reload.project.entities.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1767550622641000000,1767550682642000000,5
workspaceModel.global.apply.state.to.project.ms,1767550622641000000,1767550682642000000,22
jps.artifact.entities.serializer.load.entities.ms,1767550622641000000,1767550682642000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1767550622641000000,1767550682642000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1767550622641000000,1767550682642000000,14
jps.global.handle.changed.events.ms,1767550622641000000,1767550682642000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1767550622641000000,1767550682642000000,68
jps.save.changed.project.entities.ms,1767550622641000000,1767550682642000000,0
jps.module.iml.entities.serializer.save.entities.ms,1767550622641000000,1767550682642000000,0
jps.facet.change.listener.process.change.events.ms,1767550622641000000,1767550682642000000,0
jps.save.global.entities.ms,1767550622641000000,1767550682642000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1767550622641000000,1767550682642000000,0
jps.app.storage.content.reader.load.component.ms,1767550622641000000,1767550682642000000,0
workspaceModel.sync.entities.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767550622641000000,1767550682642000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767550622641000000,1767550682642000000,1
